base_name,percentage_within_threshold
ground_ground_43_gt.ply,0.0
ground_ground_652_gt.ply,0.0
ground_ground_92_gt.ply,0.0
ground_ground_683_gt.ply,0.0
ground_ground_299_gt.ply,0.0
ground_ground_86_gt.ply,0.0
ground_ground_594_gt.ply,0.0
ground_ground_367_gt.ply,0.0
ground_ground_637_gt.ply,0.0
ground_ground_790_gt.ply,0.0
ground_ground_348_gt.ply,0.0
ground_ground_56_gt.ply,0.0
ground_ground_123_gt.ply,0.0
ground_ground_274_gt.ply,0.0
ground_ground_66_gt.ply,0.0
ground_ground_774_gt.ply,0.0
ground_ground_197_gt.ply,0.0
ground_ground_268_gt.ply,0.0
ground_ground_159_gt.ply,0.0
ground_ground_745_gt.ply,0.0
ground_ground_13_gt.ply,0.0
ground_ground_539_gt.ply,0.0
ground_ground_633_gt.ply,0.0
ground_ground_283_gt.ply,0.0
ground_ground_553_gt.ply,0.0
ground_ground_576_gt.ply,0.0
ground_ground_475_gt.ply,0.0
ground_ground_135_gt.ply,0.0
ground_ground_375_gt.ply,0.0
ground_ground_209_gt.ply,0.0
ground_ground_298_gt.ply,0.0
ground_ground_514_gt.ply,0.0
ground_ground_466_gt.ply,0.0
ground_ground_306_gt.ply,0.0
ground_ground_704_gt.ply,0.0
ground_ground_366_gt.ply,0.0
ground_ground_64_gt.ply,0.0
ground_ground_462_gt.ply,0.0
ground_ground_397_gt.ply,0.0
ground_ground_599_gt.ply,0.0
ground_ground_800_gt.ply,0.0
ground_ground_555_gt.ply,0.0
ground_ground_115_gt.ply,0.0
ground_ground_470_gt.ply,0.0
ground_ground_210_gt.ply,0.0
ground_ground_378_gt.ply,0.0
ground_ground_802_gt.ply,0.0
ground_ground_193_gt.ply,0.0
ground_ground_454_gt.ply,0.0
ground_ground_89_gt.ply,0.0
ground_ground_650_gt.ply,0.0
ground_ground_46_gt.ply,0.0
ground_ground_628_gt.ply,0.0
ground_ground_218_gt.ply,0.0
ground_ground_32_gt.ply,0.0
ground_ground_15_gt.ply,0.0
ground_ground_315_gt.ply,0.0
ground_ground_44_gt.ply,0.0
ground_ground_149_gt.ply,0.0
ground_ground_311_gt.ply,0.0
ground_ground_26_gt.ply,0.0
ground_ground_623_gt.ply,0.0
ground_ground_350_gt.ply,0.0
ground_ground_388_gt.ply,0.0
ground_ground_136_gt.ply,0.0
ground_ground_482_gt.ply,0.0
ground_ground_763_gt.ply,0.0
ground_ground_809_gt.ply,0.0
ground_ground_166_gt.ply,0.0
ground_ground_347_gt.ply,0.0
ground_ground_328_gt.ply,0.0
ground_ground_489_gt.ply,0.0
ground_ground_556_gt.ply,0.0
ground_ground_353_gt.ply,0.0
ground_ground_287_gt.ply,0.0
ground_ground_229_gt.ply,0.0
ground_ground_696_gt.ply,0.0
ground_ground_322_gt.ply,0.0
ground_ground_678_gt.ply,0.0
ground_ground_249_gt.ply,0.0
ground_ground_518_gt.ply,0.0
ground_ground_595_gt.ply,0.0
ground_ground_226_gt.ply,0.0
ground_ground_212_gt.ply,0.0
ground_ground_377_gt.ply,0.0
ground_ground_304_gt.ply,0.0
ground_ground_77_gt.ply,0.0
ground_ground_551_gt.ply,0.0
ground_ground_473_gt.ply,0.0
ground_ground_565_gt.ply,0.0
ground_ground_38_gt.ply,0.0
ground_ground_390_gt.ply,0.0
ground_ground_126_gt.ply,0.0
ground_ground_564_gt.ply,0.0
ground_ground_134_gt.ply,0.0
ground_ground_468_gt.ply,0.0
ground_ground_290_gt.ply,0.0
ground_ground_402_gt.ply,0.0
ground_ground_200_gt.ply,0.0
ground_ground_286_gt.ply,0.0
ground_ground_635_gt.ply,0.0
ground_ground_452_gt.ply,0.0
ground_ground_381_gt.ply,0.0
ground_ground_219_gt.ply,0.0
ground_ground_568_gt.ply,0.0
ground_ground_343_gt.ply,0.0
ground_ground_455_gt.ply,0.0
ground_ground_483_gt.ply,0.0
ground_ground_168_gt.ply,0.0
ground_ground_486_gt.ply,0.0
ground_ground_535_gt.ply,0.0
ground_ground_501_gt.ply,0.0
ground_ground_666_gt.ply,0.0
ground_ground_341_gt.ply,0.0
ground_ground_335_gt.ply,0.0
ground_ground_558_gt.ply,0.0
ground_ground_330_gt.ply,0.0
ground_ground_430_gt.ply,0.0
ground_ground_275_gt.ply,0.0
ground_ground_796_gt.ply,0.0
ground_ground_754_gt.ply,0.0
ground_ground_94_gt.ply,0.0
ground_ground_138_gt.ply,0.0
ground_ground_363_gt.ply,0.0
ground_ground_797_gt.ply,0.0
ground_ground_593_gt.ply,0.0
ground_ground_151_gt.ply,0.0
ground_ground_784_gt.ply,0.0
ground_ground_786_gt.ply,0.0
ground_ground_767_gt.ply,0.0
ground_ground_679_gt.ply,0.0
ground_ground_76_gt.ply,0.0
ground_ground_106_gt.ply,0.0
ground_ground_110_gt.ply,0.0
ground_ground_17_gt.ply,0.0
ground_ground_438_gt.ply,0.0
ground_ground_122_gt.ply,0.0
ground_ground_125_gt.ply,0.0
ground_ground_84_gt.ply,0.0
ground_ground_778_gt.ply,0.0
ground_ground_410_gt.ply,0.0
ground_ground_685_gt.ply,0.0
ground_ground_480_gt.ply,0.0
ground_ground_204_gt.ply,0.0
